,규모,면적,신축년도,용도지역,주소
0,지상2/지하0,473㎡,2002년 11월 27일,2종일주,광주광역시 광산구 하산동 482-16
1,지상13/지하0,"30,078.4㎡",2009년 05월 20일,3종일주,광주광역시 광산구 산정동 1023
2,지상15/지하0,"12,042㎡",2014년 12월 19일,2종일주,광주광역시 광산구 하남동 544
3,지상1/지하0,"14,103.4㎡",2009년 07월 14일,3종일주,광주광역시 광산구 흑석동 504
4,지상15/지하1,"23,911.3㎡",2009년 07월 14일,3종일주,광주광역시 광산구 흑석동 517
5,지상15/지하1,"7,071㎡",1988년 10월 27일,3종일주,광주광역시 광산구 산정동 939
6,지상18/지하1,"5,942.3㎡",1994년 04월 22일,3종일주,광주광역시 광산구 산정동 933
7,지상1/지하0,"9,736.5㎡",2017년 09월 20일,준주거,광주광역시 광산구 산정동 1052
8,지상14/지하0,"36,665.7㎡",2010년 08월 23일,3종일주,광주광역시 광산구 장덕동 1098
9,지상1/지하0,"27,183.3㎡",1995년 07월 22일,3종일주,광주광역시 광산구 월곡동 538-2
10,지상19/지하1,"26,685.6㎡",1992년 06월 10일,3종일주,광주광역시 광산구 월곡동 538-1
11,지상4/지하1,"30,586.2㎡",1991년 07월 01일,3종일주,광주광역시 광산구 월곡동 614-2
12,지상5/지하1,"32,927.4㎡",1990년 06월 18일,3종일주,광주광역시 광산구 월곡동 614-1
13,지상20/지하1,"63,987㎡",2003년 08월 20일,3종일주,광주광역시 광산구 월곡동 685-1
14,지상3/지하1,"71,518.3㎡",1991년 10월 18일,3종일주,광주광역시 광산구 월곡동 613-1
15,지상1/지하0,"80,016㎡",1977년 12월 12일,2종일주,광주광역시 광산구 소촌동 290
16,지상5/지하0,"3,838㎡",2016년 08월 26일,1종일주,광주광역시 광산구 비아동 149-1
17,지상6/지하0,330.2㎡,2013년 07월 08일,일반상업,광주광역시 광산구 쌍암동 694-20
18,지상6/지하0,335.3㎡,2013년 07월 05일,일반상업,광주광역시 광산구 쌍암동 694-134
19,지상5/지하0,318.1㎡,2012년 11월 06일,일반상업,광주광역시 광산구 쌍암동 694-128
20,지상6/지하0,295.9㎡,2013년 06월 21일,일반상업,광주광역시 광산구 쌍암동 694-19
21,지상6/지하0,376.4㎡,2014년 03월 12일,일반상업,광주광역시 광산구 쌍암동 694-23
